;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;1661;Desarrollo global de Software;Aurota Vizcaino Barcelo, Felix O. Garcia Rubio y otros;QA76.758.V78 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1662;Ingenieria de Software Orientada a Objetos con UML, Java e Internet;Alfredo Weitzenfeld;QA76.758.W42;2005;;;;;;;;;;;;;;;;;;;;;
;1663;Ingenieria de Software Orientada a Objetos con UML, Java e Internet;Alfredo Weitzenfeld;QA76.758.W42 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;1664;Ingenieria de Software Orientada a Objetos con UML, Java e Internet;Alfredo Weitzenfeld;QA76.758.W42 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;1665;Ingenieria de Software Orientada a Objetos con UML, Java e Internet;Alfredo Weitzenfeld;QA76.758.W42 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;1666;Ingenieria de Software Orientada a Objetos con UML, Java e Internet;Alfredo Weitzenfeld;QA76.758.W42 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;1667;PYTHON Pocket Reference ;Mark Lutz;QA76.76.98.L95;2014;;;;;;;;;;;;;;;;;;;;;
;1668;Android Programación de dispositivos móviles a través de ejemplos;Jose Enrique Amaro Soriano;QA76.76.A65.A52;2012;;;;;;;;;;;;;;;;;;;;;
;1669;El gran libro de programacion avanzada con Android;Jose Enrique Amaro Soriano;QA76.76.A65.A52P;2012;;;;;;;;;;;;;;;;;;;;;
;1670;El gran libro de programacion avanzada con Android;Jose Enrique Amaro Soriano;QA76.76.A65.A52P ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1671;El gran libro de programacion avanzada con Android;Jose Enrique Amaro Soriano;QA76.76.A65.A52P ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;1672;El gran libro de programacion avanzada con Android;Jose Enrique Amaro Soriano;QA76.76.A65.A52P ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;1673;El gran libro de programacion avanzada con Android;Jose Enrique Amaro Soriano;QA76.76.A65.A52P ej. 5;2012;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;1674;Android Guía para desarrolladores;Frank Ableson;QA76.76.A65.A59;2010;;;;;;;;;;;;;;;;;;;;;
;1675;Android 7 Principios del desarrollo de aplicaciones JAVA;Nazim BENBOURAHLA;QA76.76.A65.A59;2017;;;;;;;;;;;;;;;;;;;;;
;1676;Android Guía para desarrolladores;Frank Ableson;QA76.76.A65.A59 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1677;Android Guía para desarrolladores;Frank Ableson;QA76.76.A65.A59 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;1678;Android;Ed Burnette;QA76.76.A65.B94;2011;;;;;;;;;;;;;;;;;;;;;
;1679;Android;Ed Burnette;QA76.76.A65.B94 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1680;Jakarta Struts;Chuck Cavaness;QA76.76.A65.C38;2007;;;;;;;;;;;;;;;;;;;;;
;1681;Android 4;Lauren Darcey;QA76.76.A65.D25;2012;;;;;;;;;;;;;;;;;;;;;
;1682;Desarrollo de aplicaciones para iPhone & iPad;Joe Conway;QA76.76.A65.D61;2011;;;;;;;;;;;;;;;;;;;;;
;1683;Desarrollo de aplicaciones para iPhone & iPad;Joe Conway;QA76.76.A65.D61 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1684;Desarrollo de aplicaciones para iPhone & iPad;Joe Conway;QA76.76.A65.D61 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;1685;Java para desarrollo Android;"Jeff ""JavaJeff"" Friesen";QA76.76.A65.F84;2010;;;;;;;;;;;;;;;;;;;;;
;1686;Java para desarrollo Android;"Jeff ""JavaJeff"" Friesen";QA76.76.A65.F84 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1687;Java para desarrollo Android;"Jeff ""JavaJeff"" Friesen";QA76.76.A65.F84 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;1688;Java para desarrollo Android;"Jeff ""JavaJeff"" Friesen";QA76.76.A65.F84 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;1689;Java para desarrollo Android;"Jeff ""JavaJeff"" Friesen";QA76.76.A65.F84 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;1690;Android para todos;Rob Huddleston;QA76.76.A65.H86;2011;;;;;;;;;;;;;;;;;;;;;
;1691;Investigacion forense de dispositivos moviles Android;Francisco Lazaro Dominguez;QA76.76.A65.L32;2015;;;;;;;;;;;;;;;;;;;;;
;1692;Desarrollo de aplicaciones para iPhone y iPad sobre iOS 5;Dr. Rory Lewis;QA76.76.A65.L54;2012;;;;;;;;;;;;;;;;;;;;;
;1693;Desarrollo de aplicaciones para iPhone y iPad sobre iOS 6;Dr. Rory Lewis;QA76.76.A65.L54 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;1694;ANDROID Programacion multimedia y de dispositivos moviles;Ivan Lopez Montalban, Manuel Martinez Carbonell y otros;QA76.76.A65.L87;2015;;;;;;;;;;;;;;;;;;;;;
;1695;ANDROID Programacion multimedia y de dispositivos moviles;Ivan Lopez Montalban, Manuel Martinez Carbonell y otros;QA76.76.A65.L87 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1696;ANDROID Programacion multimedia y de dispositivos moviles;Ivan Lopez Montalban, Manuel Martinez Carbonell y otros;QA76.76.A65.L87 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1697;ANDROID Programacion multimedia y de dispositivos moviles;Ivan Lopez Montalban, Manuel Martinez Carbonell y otros;QA76.76.A65.L87 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1698;ANDROID Programacion multimedia y de dispositivos moviles;Ivan Lopez Montalban, Manuel Martinez Carbonell y otros;QA76.76.A65.L87 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1699;Android 4 Desarrollo de aplicaciones;Wei-Meng Lee;QA76.76.A65.M42;2011;;;;;;;;;;;;;;;;;;;;;
;1700;Android 4 Desarrollo de aplicaciones;Wei-Meng Lee;QA76.76.A65.M42 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1701;Professional Android 2 Application Development;Reto Meier;QA76.76.A65.M48;2010;;;;;;;;;;;;;;;;;;;;;
;1702;Modelado digital;William Vaughan;QA76.76.A65.M68;2012;;;;;;;;;;;;;;;;;;;;;
;1703;iPad;Paul McFedries;QA76.76.A65.MC12;2011;;;;;;;;;;;;;;;;;;;;;
;1704;iPad;Paul McFedries;QA76.76.A65.MC12 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1705;iPad;Paul McFedries;QA76.76.A65.MC12 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;1706;iPad;Paul McFedries;QA76.76.A65.MC12 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;1707;Desarrollo de aplicacion moviles con Android;Jorge Nolasco Valenzuela;QA76.76.A65.N77;2013;;;;;;;;;;;;;;;;;;;;;
;1708;Java 8 y Android Studio;Jorge Nolasco Valenzuela;QA76.76.A65.N77J ;2015;;;;;;;;;;;;;;;;;;;;;
;1709;Java 8 y Android Studio;Jorge Nolasco Valenzuela;QA76.76.A65.N77J ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1710;Java 8 y Android Studio;Jorge Nolasco Valenzuela;QA76.76.A65.N77J ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1711;Java 8 y Android Studio;Jorge Nolasco Valenzuela;QA76.76.A65.N77J ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1712;Java 8 y Android Studio;Jorge Nolasco Valenzuela;QA76.76.A65.N77J ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1713;Java 8 y Android Studio;Jorge Nolasco Valenzuela;QA76.76.A65.N77J ej. 6;2015;;;;;;;;;;;;;;;;;;;;;
;1714;Desarrollo de aplicaciones en la nube para dispositivos moviles;Richard Rodger;QA76.76.A65.R73;2012;;;;;;;;;;;;;;;;;;;;;
;1715;Desarrollo de aplicaciones en la nube para dispositivos moviles;Richard Rodger;QA76.76.A65.R73 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1716;Desarrollo de aplicaciones en la nube para dispositivos moviles;Richard Rodger;QA76.76.A65.R73 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;1717;Desarrollo de juegos ANDROID;Mario Sechner;QA76.76.A65.Z56;2012;;;;;;;;;;;;;;;;;;;;;
;1718;Desarrollo de juegos ANDROID;Mario Sechner;QA76.76.A65.Z56 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1719;Desarrollo de juegos ANDROID;Mario Sechner;QA76.76.A65.Z56 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;1720;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36;2010;;;;;;;;;;;;;;;;;;;;;
;1721;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1722;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;1723;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;1724;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;1725;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;1726;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;1727;Compiladores Teoria e implementacion;Jacinto Ruiz Catalan;QA76.76.C65.C36 ej. 8;2010;;;;;;;;;;;;;;;;;;;;;
;1728;Compiladores e interpretes Teoria y practica;Manuel Alfonseca Moreno;QA76.76.C65.C76;2006;;;;;;;;;;;;;;;;;;;;;
;1729;Compiladores e interpretes Teoria y practica;Manuel Alfonseca Moreno;QA76.76.C65.C76 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;1730;Compiladores e interpretes Teoria y practica;Manuel Alfonseca Moreno;QA76.76.C65.C76 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;1731;Compiladores Principios, técnicas y herramientas;Alfred V. Aho;QA76.76.C65.C81;2008;;;;;;;;;;;;;;;;;;;;;
;1732;Compiladores Principios, técnicas y herramientas;Alfred V. Aho;QA76.76.C65.C81 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1733;Compiladores Principios, técnicas y herramientas;Alfred V. Aho;QA76.76.C65.C81 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;1734;Compiladores Principios, técnicas y herramientas;Alfred V. Aho;QA76.76.C65.C81 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;1735;Compiladores Principios, técnicas y herramientas;Alfred V. Aho;QA76.76.C65.C81 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;1736;Construccion de compiladores;Kenneth C. Louden;QA76.76.C65.L92;2004;;;;;;;;;;;;;;;;;;;;;
;1737;"Estimacion de costos y Administracion de proyectos 
de Software Dando realismo a la estimacion";Capers Jones;QA76.76.C73.J72;2008;;;;;;;;;;;;;;;;;;;;;
;1738;"Estimacion de costos y Administracion de proyectos 
de Software Dando realismo a la estimacion";Capers Jones;QA76.76.C73.J72 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1739;"Estimacion de costos y Administracion de proyectos 
de Software Dando realismo a la estimacion";Capers Jones;QA76.76.C73.J72 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;1740;PROCESO de Desarrollo de Software basado en la articulacion de RUP y CMMI priorizando su calidad;Carmen Ines Baez Perez, Martha Isabel Suarez Zarabanda;QA76.76.D47.B15;2013;;;;;;;;;;;;;;;;;;;;;
;1741;PROCESO de Desarrollo de Software basado en la articulacion de RUP y CMMI priorizando su calidad;Carmen Ines Baez Perez, Martha Isabel Suarez Zarabanda;QA76.76.D47.B15 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;1742;PROCESO de Desarrollo de Software basado en la articulacion de RUP y CMMI priorizando su calidad;Carmen Ines Baez Perez, Martha Isabel Suarez Zarabanda;QA76.76.D47.B15 ej. 3;2013;;;;;;;;;;;;;;;;;;;;;
;1743;PROCESO de Desarrollo de Software basado en la articulacion de RUP y CMMI priorizando su calidad;Carmen Ines Baez Perez, Martha Isabel Suarez Zarabanda;QA76.76.D47.B15 ej. 4;2013;;;;;;;;;;;;;;;;;;;;;
;1744;PROCESO de Desarrollo de Software basado en la articulacion de RUP y CMMI priorizando su calidad;Carmen Ines Baez Perez, Martha Isabel Suarez Zarabanda;QA76.76.D47.B15 ej. 5;2013;;;;;;;;;;;;;;;;;;;;;
;1745;El lenguaje unificado de modelado;Grady Booch;QA76.76.D47.B73;2006;;;;;;;;;;;;;;;;;;;;;
;1746;El lenguaje unificado de modelado;Grady Booch;QA76.76.D47.B73 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;1747;El lenguaje unificado de modelado;Grady Booch;QA76.76.D47.B73 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;1748;El lenguaje unificado de modelado;Grady Booch;QA76.76.D47.B73 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;1749;SOA Open Source;Jeff Davis;QA76.76.D47.D31;2010;;;;;;;;;;;;;;;;;;;;;
;1750;UML Modelado de Software para profesionales, Incluye UML 2.2;Carlo Fontela;QA76.76.D47.F74;2011;;;;;;;;;;;;;;;;;;;;;
;1751;Head First Design Patterns A Brain-Friendly Guide;Eric Freeman;QA76.76.D47.H31;2004;;;;;;;;;;;;;;;;;;;;;
;1752;El Proceso Unificado de Desarrollo de Software;Ivar Jacobson;QA76.76.D47.J13;2008;;;;;;;;;;;;;;;;;;;;;
;1753;El Proceso Unificado de Desarrollo de Software;Ivar Jacobson;QA76.76.D47.J13 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1754;El Proceso Unificado de Desarrollo de Software;Ivar Jacobson;QA76.76.D47.J13 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;1755;El Proceso Unificado de Desarrollo de Software;Ivar Jacobson;QA76.76.D47.J13 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;1756;El Proceso Unificado de Desarrollo de Software;Ivar Jacobson;QA76.76.D47.J13 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;1757;Programacion UML;Howard Podeswa;QA76.76.D47.P72;2010;;;;;;;;;;;;;;;;;;;;;
;1758;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1759;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;1760;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;1761;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;1762;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;1763;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;1764;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 8;2010;;;;;;;;;;;;;;;;;;;;;
;1765;Programacion UML;Howard Podeswa;QA76.76.D47.P72 ej. 9;2010;;;;;;;;;;;;;;;;;;;;;
;1766;UML con Rational Rose;Gesvin Romero Moreno;QA76.76.D47.R81;2004;;;;;;;;;;;;;;;;;;;;;
;1767;UML con Rational Rose;Gesvin Romero Moreno;QA76.76.D47.R81 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;1768;UML con Rational Rose;Gesvin Romero Moreno;QA76.76.D47.R81 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;1769;UML con Rational Rose;Gesvin Romero Moreno;QA76.76.D47.R81 ej. 4;2004;;;;;;;;;;;;;;;;;;;;;
;1770;UML con Rational Rose;Gesvin Romero Moreno;QA76.76.D47.R81 ej. 5;2004;;;;;;;;;;;;;;;;;;;;;
;1771;El lenguaje unificado de modelado manual de referencia;James Rumbaugh;QA76.76.D47.R95;2007;;;;;;;;;;;;;;;;;;;;;
;1772;El lenguaje unificado de modelado manual de referencia;James Rumbaugh;QA76.76.D47.R95 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;1773;El lenguaje unificado de modelado manual de referencia;James Rumbaugh;QA76.76.D47.R95 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;1774;Drivers en Linux;Jonathan Corbet;QA76.76.D49.C78;2005;;;;;;;;;;;;;;;;;;;;;
;1775;Sistemas Expertos Principios y Programaicion;Joseph Giarratano;QA76.76.E95.G42;2001;;;;;;;;;;;;;;;;;;;;;
;1776;Sistemas Expertos Principios y Programacion;Joseph Giarratano;QA76.76.E95.G42 ej. 2;2001;;;;;;;;;;;;;;;;;;;;;
;1777;Sistemas Expertos Principios y Programacion;Joseph Giarratano;QA76.76.E95.G42 ej. 3;2001;;;;;;;;;;;;;;;;;;;;;
;1778;Sistemas Expertos Principios y Programacion;Joseph Giarratano;QA76.76.E95.G42 ej. 4;2001;;;;;;;;;;;;;;;;;;;;;
;1779;HTML Incluye nuevas caracteristicas de la version 5;Alonso Alvarez Garcia;QA76.76.H94.A49;2008;;;;;;;;;;;;;;;;;;;;;
;1780;HTML5;Alonso Alvarez Garcia;QA76.76.H94.A495;2012;;;;;;;;;;;;;;;;;;;;;
;1781;HTML y CSS3 para diseñadores;Hernan Beati;QA76.76.H94.B33;2015;;;;;;;;;;;;;;;;;;;;;
;1782;HTML y CSS3 para diseñadores;Hernan Beati;QA76.76.H94.B33 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1783;HTML y CSS3 para diseñadores;Hernan Beati;QA76.76.H94.B33 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1784;HTML y CSS3 para diseñadores;Hernan Beati;QA76.76.H94.B33 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1785;HTML y CSS3 para diseñadores;Hernan Beati;QA76.76.H94.B33 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1786;CSS, DHTML y AJAX;Jason Cranford Teague;QA76.76.H94.C87;2007;;;;;;;;;;;;;;;;;;;;;
;1787;HTML Edicion revisada y actualizada 2009;German Galeano Gil;QA76.76.H94.G14;2009;;;;;;;;;;;;;;;;;;;;;
;1788;Arrancar con HTML5 Curso de programación;Enmanuel Herrera Rios;QA76.76.H94.H46;2012;;;;;;;;;;;;;;;;;;;;;
;1789;Arrancar con HTML5 Curso de programación;Enmanuel Herrera Rios;QA76.76.H94.H46 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1790;Arrancar con HTML5 Curso de programación;Enmanuel Herrera Rios;QA76.76.H94.H46 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;1791;Domine XHTML 1.0 y CSS 2;Jose Lopez Quijano;QA76.76.H94.L88;2009;;;;;;;;;;;;;;;;;;;;;
;1792;Domine HTML5 y CSS2;Jose Lopez Quijano;QA76.76.H94.L88H;2012;;;;;;;;;;;;;;;;;;;;;
;1793;Domine HTML5 y CSS2;Jose Lopez Quijano;QA76.76.H94.L88H ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1794;HTML5 Para desarrolladores;Joseph W. Lowery;QA76.76.H94.L93;2011;;;;;;;;;;;;;;;;;;;;;
;1795;HTML5 Para desarrolladores;Joseph W. Lowery;QA76.76.H94.L94 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1796;HTML5 Para desarrolladores;Joseph W. Lowery;QA76.76.H94.L94 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;1797;HTML5, CSS y JAVASCRIPT Crea tu web y apps con el estandar de desarrollo;Jose Dimas Lujan Castillo;QA76.76.H94.L97;2016;;;;;;;;;;;;;;;;;;;;;
;1798;HTML5, CSS y JAVASCRIPT Crea tu web y apps con el estandar de desarrollo;Jose Dimas Lujan Castillo;QA76.76.H94.L97 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;1799;HTML5, CSS y JAVASCRIPT Crea tu web y apps con el estandar de desarrollo;Jose Dimas Lujan Castillo;QA76.76.H94.L97 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;1800;HTML5, CSS y JAVASCRIPT Crea tu web y apps con el estandar de desarrollo;Jose Dimas Lujan Castillo;QA76.76.H94.L97 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;1801;HTML5, CSS y JAVASCRIPT Crea tu web y apps con el estandar de desarrollo;Jose Dimas Lujan Castillo;QA76.76.H94.L97 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;1802;Programacion HTML5;Matthew David;QA76.76.H94.M28;2011;;;;;;;;;;;;;;;;;;;;;
;1803;Programacion HTML6;Matthew David;QA76.76.H94.M28 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1804;HTML5, CSS3 y JavaScript;Julie C. Meloni;QA76.76.H94.M41;2012;;;;;;;;;;;;;;;;;;;;;
;1805;Programacion HTML y CSS;Christopher Murphy, Nicklas Persson;QA76.76.H94.M97;2010;;;;;;;;;;;;;;;;;;;;;
;1806;Diseño de paginas Web con XHTML, JavaScript y CSS ;Juan Carlos Oros;QA76.76.H94.O71;2006;;;;;;;;;;;;;;;;;;;;;
;1807;Diseño de paginas Web con XHTML, JavaScript y CSS 2da Edicion;Juan Carlos Oros;QA76.76.H94.O71;2008;;;;;;;;;;;;;;;;;;;;;
;1808;Diseño de paginas Web con XHTML, JavaScript y CSS 2da Edicion;Juan Carlos Oros;QA76.76.H94.O71 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1809;Programacion HTML 5 para ios y Android;Robin Nixon;QA76.76.H94.P87;2012;;;;;;;;;;;;;;;;;;;;;
;1810;Curso de Desarrollo Web HTML, CSS y JavaScript;Mario Rubiales Gomez;QA76.76.H94.R91;2018;;;;;;;;;;;;;;;;;;;;;
;1811;HTML5 El futuro de la Web;Bill Sanders;QA76.76.H94.S21;2011;;;;;;;;;;;;;;;;;;;;;
;1812;Video con HTML5 ;Silvia Pleiffer;QA76.76.H94.V63;2011;;;;;;;;;;;;;;;;;;;;;
;1813;JAVA 6;Felipe Lima Diaz;QA76.76.J38.L64J;2010;;;;;;;;;;;;;;;;;;;;;
;1814;JAVA 7;Felipe Lima Diaz;QA76.76.J38.L64J ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1815;Fundamentos de Sistemas Operativos;Abraham Silberschatz;QA76.76.O63;2006;;;;;;;;;;;;;;;;;;;;;
;1816;Fundamentos de Sistemas Operativos;Abraham Silberschatz;QA76.76.O63 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;1817;Sistemas Operativos Monopuesto;Maria del Pilar Alegre Ramos;QA76.76.O63.A39;2010;;;;;;;;;;;;;;;;;;;;;
;1818;Linux fedora times compendio especial;Herber H. Aragon Suclla;QA76.76.O63.A66;2006;;;;;;;;;;;;;;;;;;;;;
;1819;Linux fedora times compendio especial;Herber H. Aragon Suclla;QA76.76.O63.A66 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;1820;Linux fedora times compendio especial;Herber H. Aragon Suclla;QA76.76.O63.A66 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;1821;Linux fedora times compendio especial;Herber H. Aragon Suclla;QA76.76.O63.A66 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;1822;Programacion Administracion de Sistemas LINUX/UNIX Automataizacion de tareas y procesos;Nate Campi, Kirk Bauer;QA76.76.O63.C24;2009;;;;;;;;;;;;;;;;;;;;;
;1823;Sistemas Operativos  Ejercicios Resueltos;Arantza Castillas Rubio, Luis Iglesias Velazquez;QA76.76.O63.C28;2004;;;;;;;;;;;;;;;;;;;;;
;1824;Sistemas Operativos ;Marco Antonio Coral Ygnacio, Santiago Raúl Gonzales Sánchez, Carlos Ruiz de la Cruz Melo.;QA76.76.O63.C78;2010;;;;;;;;;;;;;;;;;;;;;
;1825;Para todos LINUX paso a paso;Joel De La Cruz Villar;QA76.76.O63.C92;2008;;;;;;;;;;;;;;;;;;;;;
;1826;Para todos LINUX paso a paso;Joel De La Cruz Villar;QA76.76.O63.C92 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1827;UBUNTU Guia practica;Francisco Charte Ojeda;QA76.76.O63.Ch525;2010;;;;;;;;;;;;;;;;;;;;;
;1828;Guia de Referencia y Aprendizaje LINUX 2 Edicion actualizada y ampliada;Matthias Kalle Dalheimer y Matt Welsh;QA76.76.O63.D19;2006;;;;;;;;;;;;;;;;;;;;;
;1829;SISTEMAS Operativos Un enfoque basado en conceptos 2da Edicion;Dhananjay M. Dhamdhere;QA76.76.O63.D24;2008;;;;;;;;;;;;;;;;;;;;;
;1830;Linux el Sistema Operativo del futuro;Hegel Broy De la Cruz Paisig;QA76.76.O63.D37;2013;;;;;;;;;;;;;;;;;;;;;
;1831;Sistemas Operativos 3ra Edicion;Ida M. Flyn, Ann Mclver McHoes;QA76.76.O63.D57;2001;;;;;;;;;;;;;;;;;;;;;
;1832;GNU/LINUX y el Software libre y sus multiples aplicaciones;Manuel Davila Sguerra;QA76.76.O63.D71;2009;;;;;;;;;;;;;;;;;;;;;
;1833;Sistemas Operativos Un enfoque en espiral;Ramez Elmasri, A. Gil Carrick;QA76.76.O63.E43;2010;;;;;;;;;;;;;;;;;;;;;
;1834;Sistemas Operativos Un enfoque en espiral;Ramez Elmasri, A. Gil Carrick;QA76.76.O63.E43 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1835;Programacion Shell en UNIX/LINUX sh, ksh, bash (con ejercicio corregidos) 3ra Edicion;Christine DEFFAIX REMY;QA76.76.O63.F44;2015;;;;;;;;;;;;;;;;;;;;;
;1836;Programacion Shell en UNIX/LINUX sh, ksh, bash (con ejercicio corregidos) 3ra Edicion;Christine DEFFAIX REMY;QA76.76.O63.F44 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1837;Programacion Shell en UNIX/LINUX sh, ksh, bash (con ejercicio corregidos) 3ra Edicion;Christine DEFFAIX REMY;QA76.76.O63.F44 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1838;Programacion Shell en UNIX/LINUX sh, ksh, bash (con ejercicio corregidos) 3ra Edicion;Christine DEFFAIX REMY;QA76.76.O63.F44 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1839;Programacion Shell en UNIX/LINUX sh, ksh, bash (con ejercicio corregidos) 3ra Edicion;Christine DEFFAIX REMY;QA76.76.O63.F44 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1840;Programacion Shell en UNIX/LINUX sh, ksh, bash (con ejercicio corregidos) 3ra Edicion;Christine DEFFAIX REMY;QA76.76.O63.F44 ej. 6;2015;;;;;;;;;;;;;;;;;;;;;
;1841;LINUX Administracion de sistemas GNU/LINUX;Julio Gomez Lopez;QA76.76.O63.G62;2011;;;;;;;;;;;;;;;;;;;;;
;1842;Administracion de SISTEMAS Operativos Windows y Linux Un enfoque practico;Julio Gomez Lopez, Nicolas Padilla;QA76.76.O63.G63;2007;;;;;;;;;;;;;;;;;;;;;
